"","row","col","n","chisq p-value (no correction)","OR","0.95CI_low","0.95CI_up","fisher exact p-value (simulated)","chisq p-value (with correction)"
"resilience_simple vs permanent","resilience_simple","permanent",229,0.603982822343342,0.795382165605096,0.334408925287102,1.89179397296144,0.644723813830964,0.773656154863358
"resilience_simple vs stressful_workplace","resilience_simple","stressful_workplace",230,0.0611214056906787,0.267226890756303,0.0613019027783669,1.16489387615683,0.0815913055162891,0.104023242049662
"resilience_simple vs support_satisfaction","resilience_simple","support_satisfaction",229,0.00959573457274692,2.92067307692308,1.26353430418668,6.75116709850958,0.00965685118528934,0.0161953574723592
"resilience_simple vs qual","resilience_simple","qual",231,0.63726443520841,0.842105263157895,0.412011726131258,1.72116769805797,0.717768904674714,0.771824567315162
"resilience_simple vs gender","resilience_simple","gender",231,0.434281409202761,1.43965517241379,0.575280427881704,3.60277686325873,0.449894635454428,0.596858816592449
"permanent vs stressful_workplace","permanent","stressful_workplace",230,0.483591194297555,0.743589743589744,0.32390526721621,1.70705994232189,0.504175799446398,0.633536427140088
"permanent vs support_satisfaction","permanent","support_satisfaction",230,0.0996096123056464,1.73684210526316,0.8963305335053,3.36552241149009,0.127720706674231,0.139497916572422
"permanent vs qual","permanent","qual",232,0.0795903678317781,0.555555555555555,0.286500659845914,1.0772819004139,0.0968412686321008,0.112529088760376
"permanent vs gender","permanent","gender",232,0.0871030126776638,0.490853658536585,0.214625439074698,1.12259439112852,0.0982377465354013,0.140696562475087
"stressful_workplace vs support_satisfaction","stressful_workplace","support_satisfaction",231,0.00177697537647119,0.323361344537815,0.155782944342606,0.671206720238542,0.00221204858630203,0.00322053503932466
"stressful_workplace vs qual","stressful_workplace","qual",232,0.473576010474529,0.773694390715667,0.383115656341056,1.56246031796727,0.484505630704572,0.589862045474505
"stressful_workplace vs gender","stressful_workplace","gender",232,0.529935845900884,1.33870967741935,0.537406324842479,3.33480183907685,0.619400027596043,0.703737117957143
"support_satisfaction vs qual","support_satisfaction","qual",232,0.759166396282364,0.921865889212828,0.547985580418584,1.5508377374547,0.791619860044668,0.861960775034668
"support_satisfaction vs gender","support_satisfaction","gender",232,0.735005759460942,0.882743362831858,0.428606300847727,1.81806903697512,0.853328181935828,0.878184253567478
"qual vs gender","qual","gender",234,0.0812173966297014,0.516521739130435,0.243685693249874,1.09483122885166,0.0991250853730906,0.118711565769588
